CitizenID,VoterRegistration,VolunteerHoursPerYear,CommunityGroupMembership,DonationsToCharity
206,True,269,Neighborhood Watch,5346
207,True,454,None,5623
208,True,158,None,8617
209,False,435,Neighborhood Watch,4931
210,False,321,Sports Club,6482
211,True,60,Sports Club,4752
212,True,280,None,5936
213,False,186,Sports Club,46
214,False,190,None,276
215,False,497,None,1583
216,True,418,Sports Club,2720
217,True,91,Sports Club,2458
218,False,419,Neighborhood Watch,3034
219,True,136,Religious Organization,5797
220,False,183,Religious Organization,8410
221,False,357,Neighborhood Watch,9526
222,False,282,Religious Organization,4199
223,False,92,Neighborhood Watch,4460
224,True,472,None,311
225,False,249,None,115
226,True,446,Religious Organization,4138
227,True,473,Neighborhood Watch,1836
228,False,37,Neighborhood Watch,7216
229,True,384,Sports Club,3492
230,True,89,None,7755
231,False,80,Religious Organization,8153
232,True,15,Religious Organization,4766
233,True,112,Neighborhood Watch,2611
234,False,70,Neighborhood Watch,7533
235,True,87,Neighborhood Watch,1499
236,True,342,Religious Organization,4778
237,False,196,None,6313
238,False,176,None,5455
239,False,17,Sports Club,403
240,False,85,None,9092
241,False,445,Neighborhood Watch,5234
242,True,127,None,4696
243,True,189,Religious Organization,4931
244,True,187,Sports Club,93
245,False,423,Neighborhood Watch,5109
246,True,256,Sports Club,9692
247,True,497,Sports Club,9122
248,True,482,Neighborhood Watch,7419
249,False,163,Sports Club,1770
250,False,297,Neighborhood Watch,4432
251,True,40,Religious Organization,4874
252,False,392,Religious Organization,3476
253,True,117,Neighborhood Watch,7440
254,False,219,Religious Organization,5788
255,False,187,None,4365
256,False,209,Neighborhood Watch,9026
257,True,30,Religious Organization,4576
258,True,363,None,3048
259,True,142,None,2930
260,False,421,Neighborhood Watch,38
261,True,16,Sports Club,572
262,False,216,Sports Club,4969
263,False,333,Neighborhood Watch,4868
264,False,300,Sports Club,905
265,False,342,Sports Club,8789
266,False,119,Sports Club,2487
267,True,485,Neighborhood Watch,17
268,False,226,Sports Club,3937
269,True,49,None,2584
270,True,245,Neighborhood Watch,7321
271,False,380,Neighborhood Watch,4777
272,False,449,None,1880
273,True,187,Religious Organization,3023
274,True,63,None,9111
275,True,223,Neighborhood Watch,1001
276,True,108,Sports Club,9835
277,True,395,None,1890
278,False,467,Sports Club,1813
279,True,374,Sports Club,3202
280,True,321,Sports Club,9367
281,False,69,None,9930
282,True,394,Sports Club,1294
283,False,54,Religious Organization,7644
284,False,449,Neighborhood Watch,5615
285,True,367,Sports Club,3571
286,True,396,Religious Organization,4836
287,False,396,None,2256
288,True,15,None,909
289,True,169,Sports Club,1335
290,True,419,Neighborhood Watch,6427
291,True,308,Neighborhood Watch,4950
292,False,232,None,322
293,False,485,Religious Organization,7528
294,True,325,Sports Club,717
295,True,191,Religious Organization,6477
296,False,197,Neighborhood Watch,6290
297,False,450,Neighborhood Watch,2006
298,False,305,Neighborhood Watch,3047
299,False,292,Sports Club,8994
300,False,148,Religious Organization,5425
301,True,70,Religious Organization,3600
302,True,124,None,1629
303,True,229,Neighborhood Watch,9108
304,True,475,None,1863
305,True,338,None,6514
306,False,143,Sports Club,8308
307,False,98,Religious Organization,9909
308,False,306,Religious Organization,1870
309,False,428,Religious Organization,9872
310,False,353,None,8113
311,True,187,Religious Organization,699
312,False,145,None,7868
313,False,10,Religious Organization,3889
314,True,360,Neighborhood Watch,3225
315,True,180,Religious Organization,2989
316,True,259,Sports Club,3517
317,True,188,None,8128
318,True,51,Neighborhood Watch,1030
319,False,200,Sports Club,7264
320,False,72,Neighborhood Watch,4102
321,False,472,None,1895
322,True,148,Neighborhood Watch,8143
323,False,216,Sports Club,6553
324,True,44,Neighborhood Watch,5706
325,True,266,Neighborhood Watch,701
326,True,161,None,6868
327,False,177,None,2132
328,True,49,Sports Club,3561
329,False,123,Religious Organization,814
330,True,288,Neighborhood Watch,1540
331,True,479,Sports Club,9684
332,True,115,Sports Club,4757
333,True,198,Religious Organization,5578
334,False,24,Neighborhood Watch,8601
335,False,165,None,6002
336,False,246,Religious Organization,4307
337,True,176,Religious Organization,6818
338,False,163,Sports Club,8680
339,True,76,None,4610
340,False,34,None,3870
341,True,402,None,6574
342,False,384,Religious Organization,8391
343,True,151,Religious Organization,1407
344,False,183,Sports Club,1001
345,True,362,Neighborhood Watch,436
346,True,120,Religious Organization,6894
347,True,153,Religious Organization,92
348,False,374,Sports Club,2731
349,True,394,Sports Club,2366
350,True,25,Sports Club,6052
351,False,299,None,4832
352,True,337,Religious Organization,1354
353,False,17,None,4508
354,True,413,Neighborhood Watch,6364
355,False,428,Neighborhood Watch,2707
356,False,61,Neighborhood Watch,1341
357,True,381,Religious Organization,9021
358,True,425,Sports Club,1902
359,True,28,Neighborhood Watch,3770
360,False,387,Religious Organization,2691
361,False,489,Sports Club,9026
362,True,247,Religious Organization,6904
363,True,321,Religious Organization,8346
364,True,433,Religious Organization,4231
365,False,176,Sports Club,7457
366,True,345,Religious Organization,3438
367,False,89,Sports Club,6166
368,True,228,Sports Club,3697
369,True,372,Neighborhood Watch,6882
370,True,437,Sports Club,7790
371,False,225,Religious Organization,8432
372,True,194,Neighborhood Watch,37
373,True,30,Sports Club,8722
374,True,266,Sports Club,8758
375,True,263,Neighborhood Watch,8759
376,False,298,Neighborhood Watch,6143
377,False,61,Religious Organization,8907
378,False,10,Sports Club,3308
379,False,397,Religious Organization,5199
380,False,177,Neighborhood Watch,6863
381,False,298,Neighborhood Watch,7169
382,False,68,Religious Organization,5934
383,True,33,None,8587
384,False,449,Religious Organization,1096
385,False,331,Neighborhood Watch,2844
386,True,250,Religious Organization,7855
387,False,241,Sports Club,8331
388,False,160,Sports Club,1281
389,False,381,Neighborhood Watch,2213
390,True,428,Sports Club,1917
391,False,123,Religious Organization,5357
392,False,97,Sports Club,2364
393,False,222,Neighborhood Watch,3757
394,True,464,None,6799
395,False,300,Sports Club,6562
396,True,478,None,1042
397,False,302,Sports Club,1690
398,True,281,None,4315
399,True,323,Sports Club,1955
400,False,174,Religious Organization,2371
401,False,20,Sports Club,9695
402,False,69,Religious Organization,5878
403,False,420,Neighborhood Watch,9228
404,False,156,Neighborhood Watch,2693
405,False,278,None,5645
406,False,369,None,7021
407,True,74,Sports Club,1524
408,True,199,Religious Organization,1797
409,True,387,None,129
410,False,91,Sports Club,4327
411,True,396,Sports Club,5593
412,True,169,Neighborhood Watch,163
413,False,477,Neighborhood Watch,2854
414,True,271,None,6422
415,False,226,Religious Organization,7662
416,True,161,Sports Club,8887
417,True,142,Sports Club,9210
418,True,189,Neighborhood Watch,2167
419,True,255,None,4166
420,True,106,Sports Club,3632
421,False,478,Neighborhood Watch,9408
422,False,207,Neighborhood Watch,2830
423,False,87,Religious Organization,7472
424,False,492,Neighborhood Watch,687
425,True,181,Religious Organization,1585
426,True,363,Neighborhood Watch,7809
427,False,122,None,5320
428,True,244,Religious Organization,2596
429,True,297,Neighborhood Watch,8594
430,False,6,Neighborhood Watch,6067
431,True,285,None,2360
432,True,58,Religious Organization,7283
433,True,178,Sports Club,2259
434,False,148,None,5389
435,False,166,Neighborhood Watch,2545
436,False,312,None,9807
437,False,103,Neighborhood Watch,8154
438,False,12,Religious Organization,2179
439,False,26,Neighborhood Watch,5274
440,False,207,Neighborhood Watch,305
441,False,150,None,2872
442,True,283,None,2947
443,True,347,Religious Organization,6273
444,False,36,Religious Organization,2737
445,True,38,Neighborhood Watch,9101
446,False,359,Neighborhood Watch,8645
447,False,486,None,9605
448,True,270,Neighborhood Watch,8937
449,False,451,Religious Organization,8168
450,True,169,None,5906
451,False,359,Religious Organization,8422
452,True,85,Religious Organization,8191
453,False,438,Neighborhood Watch,531
454,True,194,None,7581
455,False,173,Religious Organization,7789
456,False,343,Sports Club,6347
457,True,400,Religious Organization,4652
458,True,30,Sports Club,6212
459,True,386,Sports Club,6557
460,True,267,Neighborhood Watch,2805
461,False,193,None,7551
462,True,360,Sports Club,2885
463,False,25,Religious Organization,1493
464,True,498,Religious Organization,9242
465,False,384,Neighborhood Watch,1516
466,False,147,Neighborhood Watch,4039
467,False,186,None,9981
468,True,231,Religious Organization,8360
469,False,149,Sports Club,9878
470,False,493,Sports Club,6652
471,True,337,Neighborhood Watch,4017
472,True,445,Neighborhood Watch,5604
473,False,315,None,3661
474,False,201,Neighborhood Watch,8510
475,True,339,Sports Club,3078
476,False,343,Sports Club,1154
477,False,376,Religious Organization,6681
478,False,25,None,2673
479,False,235,None,8959
480,False,333,Neighborhood Watch,2794
481,True,239,Sports Club,5566
482,True,136,Sports Club,230
483,True,395,None,1692
484,False,495,Sports Club,1007
485,False,125,None,5404
486,False,293,Religious Organization,3776
487,True,381,None,1182
488,True,471,Sports Club,5114
489,True,402,Neighborhood Watch,2170
490,True,463,None,2887
491,True,480,Sports Club,4585
492,False,318,None,3547
493,False,480,Neighborhood Watch,4530
494,True,192,Sports Club,5074
495,False,212,Sports Club,759
496,True,336,Neighborhood Watch,4818
497,False,93,None,4247
498,False,111,None,9844
499,False,443,Neighborhood Watch,6509
500,False,358,Religious Organization,3669
501,False,472,None,6834
502,False,277,None,7535
503,True,114,Religious Organization,7248
504,True,301,Neighborhood Watch,3083
505,False,423,None,3047
506,True,161,Sports Club,9614
507,True,374,Sports Club,7687
508,False,383,Religious Organization,1730
509,False,480,None,3856
510,True,431,Sports Club,7248
511,True,363,Sports Club,6129
512,True,475,Sports Club,7581
513,False,305,Religious Organization,6852
514,False,469,Neighborhood Watch,5669
515,True,448,Neighborhood Watch,7681
516,False,60,None,1991
517,False,463,Religious Organization,7454
518,True,347,Religious Organization,277
519,False,277,Neighborhood Watch,1363
520,False,386,Neighborhood Watch,1948
521,True,293,None,308
522,True,94,Religious Organization,51
523,False,358,Sports Club,5469
524,True,84,Sports Club,9583
525,False,188,Sports Club,2720
526,True,305,Neighborhood Watch,6038
527,True,378,None,7076
528,True,249,Neighborhood Watch,8671
529,True,54,Sports Club,3787
530,True,341,Neighborhood Watch,2939
531,True,135,Sports Club,6694
532,True,110,None,6627
533,False,5,None,700
534,False,386,Neighborhood Watch,3599
535,True,397,Sports Club,4945
536,False,339,Neighborhood Watch,5341
537,False,242,Sports Club,5678
538,False,69,Neighborhood Watch,4968
539,False,57,None,2080
540,True,406,None,2813
541,True,409,Religious Organization,7743
542,False,265,Neighborhood Watch,8277
543,True,472,Neighborhood Watch,766
544,True,101,Neighborhood Watch,428
545,False,176,Neighborhood Watch,7915
546,True,455,Religious Organization,3894
547,True,337,Religious Organization,4885
548,False,59,None,6517
549,False,280,Religious Organization,8700
550,False,114,None,7052
551,False,384,Sports Club,4447
552,True,312,Sports Club,7109
553,True,464,None,2029
554,True,165,Neighborhood Watch,3171
555,True,10,Sports Club,3908
556,True,119,Religious Organization,2985
557,True,406,Neighborhood Watch,5701
558,True,389,Religious Organization,3630
559,False,401,None,7072
560,False,284,Neighborhood Watch,8891
561,True,94,Neighborhood Watch,3265
562,False,296,Neighborhood Watch,3171
563,True,145,Sports Club,304
564,False,223,None,8016
565,False,221,Religious Organization,2007
566,False,272,None,3531
567,True,432,Neighborhood Watch,4322
568,True,53,Sports Club,8758
569,True,322,None,2473
570,False,250,None,3952
571,True,136,Religious Organization,928
572,False,104,Religious Organization,9721
573,False,393,Neighborhood Watch,6323
574,False,236,None,8418
575,True,278,Neighborhood Watch,9321
576,False,400,Neighborhood Watch,3254
577,True,300,None,2054
578,False,238,Religious Organization,4451
579,True,258,Sports Club,8802
580,False,384,Neighborhood Watch,9932
581,True,401,Neighborhood Watch,2448
582,False,15,Neighborhood Watch,2530
583,True,282,Sports Club,3694
584,False,438,Religious Organization,5804
585,True,341,Sports Club,8657
586,False,271,Sports Club,446
587,True,387,Neighborhood Watch,8497
588,True,332,Religious Organization,4324
589,True,62,Sports Club,3656
590,False,395,Religious Organization,9828
591,False,460,Neighborhood Watch,8830
592,False,484,Religious Organization,2762
593,False,164,None,6691
594,True,380,Religious Organization,2648
595,True,333,Religious Organization,9785
596,True,90,Religious Organization,242
597,False,333,Religious Organization,1891
598,True,190,Religious Organization,7904
599,False,161,Sports Club,4463
600,False,400,Religious Organization,2566
601,False,337,Religious Organization,3513
602,False,211,None,9442
603,True,288,Neighborhood Watch,2583
604,False,285,Sports Club,2754
605,True,425,Neighborhood Watch,7025
606,True,251,Religious Organization,365
607,True,499,Neighborhood Watch,6840
608,False,205,Neighborhood Watch,1266
609,False,171,Sports Club,1446
610,False,248,Sports Club,3476
611,True,368,Religious Organization,766
612,True,431,Sports Club,2536
613,True,106,Religious Organization,2038
614,True,454,None,4863
615,False,406,Neighborhood Watch,3969
616,False,181,Sports Club,2109
617,False,185,Neighborhood Watch,8343
618,True,243,None,7419
619,True,499,Sports Club,9544
620,False,375,Neighborhood Watch,4794
621,False,57,Sports Club,5819
622,False,468,Religious Organization,7237
623,True,277,Neighborhood Watch,6607
624,False,46,Neighborhood Watch,5513
625,False,42,Sports Club,177
626,True,339,Neighborhood Watch,8465
627,False,88,Religious Organization,3773
628,True,28,Religious Organization,8953
629,False,189,Religious Organization,2473
630,True,401,Sports Club,8489
631,False,78,Religious Organization,8196
632,True,488,Sports Club,4172
633,False,202,Sports Club,23
634,False,176,None,9225
635,True,434,Neighborhood Watch,912
636,True,446,Religious Organization,5337
637,False,319,Neighborhood Watch,6772
638,False,312,None,670
639,True,291,Religious Organization,5566
640,True,388,Sports Club,1487
641,True,272,Sports Club,9006
642,True,379,Sports Club,464
643,False,344,None,208
644,True,172,None,9194
645,False,203,Sports Club,7030
646,True,98,Sports Club,6762
647,True,183,Religious Organization,1073
648,False,219,Neighborhood Watch,700
649,True,177,Neighborhood Watch,948
650,True,15,Sports Club,4428
651,False,150,None,8524
652,True,388,None,2351
653,False,493,Neighborhood Watch,1953
654,True,348,Neighborhood Watch,3791
655,True,132,Neighborhood Watch,5867
656,False,490,None,256
657,False,109,Neighborhood Watch,8195
658,False,327,Sports Club,313
659,True,398,Sports Club,9114
660,False,68,Sports Club,8450
661,False,270,Sports Club,578
662,True,239,Sports Club,1209
663,False,496,None,6091
664,True,498,Religious Organization,3256
665,False,271,None,7911
666,True,4,None,8545
667,True,404,Religious Organization,3279
668,True,478,Neighborhood Watch,205
669,False,451,Religious Organization,9761
670,False,256,None,8424
671,False,134,Neighborhood Watch,1078
672,True,242,Neighborhood Watch,8717
673,True,439,Religious Organization,9262
674,False,129,Religious Organization,2267
675,True,320,Sports Club,6089
676,False,142,None,592
677,True,439,Religious Organization,9777
678,False,242,Religious Organization,9058
679,False,258,Sports Club,4753
680,True,57,Neighborhood Watch,9154
681,False,454,Sports Club,8653
682,False,284,Sports Club,5636
683,False,479,Neighborhood Watch,3368
684,False,278,Religious Organization,9022
685,False,28,Religious Organization,104
686,True,292,None,2150
687,True,325,Sports Club,5494
688,False,380,Neighborhood Watch,214
689,True,91,None,9361
690,False,342,None,1569
691,False,13,None,5714
692,True,153,Neighborhood Watch,4319
693,False,375,Neighborhood Watch,6642
694,True,439,Religious Organization,2921
695,True,407,Religious Organization,2109
696,True,118,Sports Club,6735
697,True,482,Religious Organization,9145
698,True,309,Sports Club,7038
699,True,176,None,7728
700,False,369,Religious Organization,2880
701,False,91,None,4963
702,False,183,Religious Organization,5016
703,True,440,None,4055
704,True,35,Neighborhood Watch,4329
705,False,0,Religious Organization,565
706,True,129,None,4788
707,True,195,None,7293
708,False,468,Neighborhood Watch,7445
709,False,20,None,4517
710,False,245,Sports Club,8994
711,False,280,Neighborhood Watch,8051
712,False,257,Sports Club,961
713,False,290,Religious Organization,9924
714,True,394,Neighborhood Watch,3710
715,True,4,Neighborhood Watch,8316
716,True,116,Neighborhood Watch,8851
717,False,164,Sports Club,4276
718,False,66,Sports Club,5803
719,False,170,Sports Club,4090
720,True,380,None,2449
721,True,406,None,5147
722,False,478,Religious Organization,2623
723,False,135,Sports Club,3537
724,False,308,None,1842
725,True,390,Religious Organization,8104
726,True,174,Sports Club,9986
727,False,474,Religious Organization,4267
728,True,469,Religious Organization,1852
729,False,444,Religious Organization,8133
730,False,309,Religious Organization,5643
731,True,171,Sports Club,2348
732,False,21,None,6102
733,True,112,None,9439
734,True,359,None,9147
735,True,437,None,1986
736,True,139,Religious Organization,6204
737,False,27,None,8232
738,True,354,Sports Club,4936
739,True,191,Sports Club,3609
740,True,168,Neighborhood Watch,7785
741,True,227,Sports Club,6235
742,True,469,Neighborhood Watch,6263
743,True,459,Sports Club,7801
744,True,452,None,6187
745,False,93,Sports Club,3756
746,False,150,Sports Club,5069
747,True,141,None,1621
748,True,243,Religious Organization,6156
749,False,279,Religious Organization,9746
750,True,260,Sports Club,6687
751,True,33,Sports Club,218
752,False,310,Neighborhood Watch,9520
753,False,418,Neighborhood Watch,1415
754,True,416,Sports Club,3214
755,True,42,None,8490
756,True,357,Religious Organization,3842
757,True,265,Religious Organization,7113
758,True,357,Sports Club,4245
759,True,385,None,3039
760,True,319,Sports Club,3946
761,True,445,Religious Organization,9314
762,False,146,Religious Organization,3019
763,False,405,Sports Club,4589
764,False,243,Religious Organization,8267
765,True,480,Religious Organization,8214
766,False,20,Neighborhood Watch,6297
767,False,230,Sports Club,7009
768,False,311,Neighborhood Watch,1742
769,False,223,None,9609
770,True,157,Sports Club,7579
771,True,370,None,4246
772,True,352,Religious Organization,8878
773,True,416,Sports Club,2391
774,False,457,Neighborhood Watch,9253
775,True,172,Religious Organization,4422
776,False,180,Religious Organization,1438
777,False,154,None,6572
778,True,87,Sports Club,3435
779,True,189,Sports Club,8476
780,True,209,Religious Organization,267
781,True,91,Sports Club,8081
782,False,250,Religious Organization,3899
783,True,89,None,5973
784,False,474,Religious Organization,6604
785,True,217,None,3517
786,True,351,Neighborhood Watch,5557
787,True,459,None,7100
788,False,192,Neighborhood Watch,4501
789,True,351,Religious Organization,1678
790,False,0,None,6054
791,True,231,Sports Club,6816
792,True,425,None,766
793,True,292,None,5087
794,True,3,Neighborhood Watch,3302
795,True,337,None,7638
796,True,461,Sports Club,400
797,True,464,Sports Club,8092
798,False,240,Religious Organization,1535
799,False,160,Sports Club,7363
800,True,194,Religious Organization,1254
801,True,496,Neighborhood Watch,3777
802,False,421,None,2212
803,True,171,Neighborhood Watch,4343
804,False,232,Sports Club,8878
805,True,4,Religious Organization,8142
806,True,253,Religious Organization,9725
807,True,314,Sports Club,2935
808,False,404,Sports Club,9578
809,False,310,None,5567
810,False,95,Religious Organization,7407
811,True,149,None,2648
812,True,292,Sports Club,2689
813,True,411,None,8481
814,True,16,None,6929
815,False,384,Neighborhood Watch,1555
816,False,253,Sports Club,548
817,True,301,Religious Organization,2471
818,True,131,None,2541
819,False,264,Sports Club,1017
820,False,67,Neighborhood Watch,9812
821,True,246,None,8414
822,True,63,Religious Organization,8666
823,True,276,None,4621
824,False,135,Sports Club,5333
825,True,27,Religious Organization,3226
826,False,69,Sports Club,721
827,False,164,Neighborhood Watch,1654
828,True,257,Sports Club,659
829,True,327,Neighborhood Watch,5893
830,False,303,Sports Club,2691
831,False,463,Religious Organization,5434
832,True,92,None,6984
833,True,122,None,2011
834,True,363,Sports Club,689
835,True,128,Sports Club,3728
836,False,311,Religious Organization,2925
837,False,489,None,1063
838,True,406,None,3828
839,True,392,Neighborhood Watch,2361
840,False,19,Religious Organization,5563
841,False,292,None,4795
842,True,81,Sports Club,6023
843,True,260,Neighborhood Watch,518
844,False,9,Neighborhood Watch,1947
845,True,357,Sports Club,2865
846,False,350,Neighborhood Watch,3069
847,True,423,Sports Club,3055
848,True,231,None,4093
849,True,170,Religious Organization,8428
850,False,281,None,7768
851,True,311,Neighborhood Watch,4432
852,True,114,Religious Organization,1742
853,False,279,Religious Organization,3397
854,True,241,Neighborhood Watch,9178
855,True,395,None,9413
856,True,416,None,9285
857,True,93,Sports Club,3787
858,False,412,Religious Organization,7276
859,True,106,None,3825
860,False,96,Sports Club,9805
861,True,116,None,1439
862,True,112,Religious Organization,2215
863,False,347,Sports Club,2668
864,True,29,Religious Organization,6859
865,True,41,None,8334
866,True,191,Sports Club,5320
867,False,433,None,1060
868,False,171,Sports Club,8738
869,False,177,None,7280
870,True,484,Neighborhood Watch,2289
871,True,32,None,9293
872,False,299,Religious Organization,6460
873,True,195,Sports Club,2864
874,True,175,None,7544
875,True,462,Religious Organization,5111
876,True,490,Neighborhood Watch,8886
877,False,240,Sports Club,3781
878,False,275,None,2011
879,False,203,None,857
880,False,331,None,4465
881,True,159,Religious Organization,9539
882,False,128,Religious Organization,7836
883,True,454,Sports Club,6618
884,False,264,Religious Organization,1337
885,False,90,Religious Organization,2412
886,True,440,Sports Club,3820
887,False,224,Religious Organization,5494
888,True,37,Religious Organization,9097
889,False,216,Sports Club,1957
890,True,69,Sports Club,2444
891,True,194,None,3452
892,False,457,None,2263
893,True,220,Sports Club,5775
894,True,166,Sports Club,5533
895,True,293,Neighborhood Watch,8785
896,False,486,Religious Organization,9600
897,True,155,Sports Club,5533
898,False,170,Neighborhood Watch,4138
899,True,77,Neighborhood Watch,9521
900,True,450,None,7248
901,True,13,Sports Club,9849
902,False,190,None,6737
903,True,202,None,9266
904,True,205,Neighborhood Watch,1210
905,False,233,Neighborhood Watch,4247
906,False,493,Religious Organization,7643
907,False,168,Religious Organization,2753
908,False,224,Religious Organization,9237
909,False,119,None,9315
910,False,6,Neighborhood Watch,705
911,True,17,Sports Club,9020
912,False,320,None,6331
913,False,195,Sports Club,1709
914,False,325,None,5662
915,True,164,Sports Club,785
916,True,211,Neighborhood Watch,3856
