CitizenID,SocialSecurity,HealthcarePlan,UnemploymentBenefits,DisabilityBenefits
150,True,Plan C,False,True
151,True,Plan B,True,True
152,True,None,True,False
153,False,Plan C,False,False
154,True,Plan A,False,True
155,True,Plan A,True,False
156,False,Plan C,False,False
157,False,Plan A,True,False
158,True,Plan C,False,True
159,True,Plan C,False,True
160,True,Plan A,False,False
161,True,Plan B,True,True
162,True,Plan A,True,False
163,False,Plan B,False,True
164,False,None,False,True
165,False,None,False,True
166,True,Plan C,True,False
167,False,None,True,False
168,True,Plan B,False,False
169,False,Plan C,True,False
170,True,Plan A,True,True
171,True,Plan A,True,False
172,False,None,False,True
173,False,Plan C,True,True
174,True,Plan C,True,True
175,True,Plan C,False,True
176,False,Plan A,False,True
177,False,None,True,True
178,True,None,False,True
179,True,Plan A,True,False
180,False,Plan A,True,False
181,False,Plan C,True,True
182,False,None,True,True
183,False,Plan B,True,False
184,True,Plan B,False,False
185,True,Plan B,True,True
186,True,Plan B,False,True
187,False,Plan C,True,False
188,False,None,True,False
189,True,Plan A,False,False
190,True,Plan A,False,False
191,False,Plan C,False,True
192,True,Plan B,True,False
193,True,Plan A,True,True
194,False,None,False,True
195,True,Plan B,True,False
196,True,None,False,False
197,True,None,False,True
198,False,Plan C,False,True
199,False,Plan C,False,False
200,True,None,True,True
201,False,Plan A,False,True
202,True,Plan B,True,False
203,True,Plan B,False,True
204,True,None,False,False
205,True,None,True,False
206,False,Plan C,True,False
207,True,Plan C,False,False
208,True,Plan A,False,True
209,True,Plan C,True,False
210,False,Plan B,True,False
211,True,None,True,True
212,True,Plan B,True,True
213,True,None,False,False
214,False,Plan A,True,False
215,True,None,True,True
216,False,Plan A,True,False
217,False,Plan C,True,False
218,True,Plan C,True,True
219,False,Plan A,False,True
220,True,None,True,True
221,True,None,False,False
222,False,Plan C,False,True
223,True,Plan B,False,True
224,True,None,False,True
225,False,Plan C,False,False
226,True,Plan C,True,False
227,False,Plan B,True,True
228,False,None,False,False
229,True,Plan C,True,False
230,True,None,False,False
231,False,Plan B,True,False
232,False,Plan C,False,False
233,False,Plan C,False,True
234,False,Plan A,True,False
235,False,Plan A,False,False
236,True,Plan B,True,True
237,True,None,False,True
238,True,Plan B,True,True
239,True,None,False,False
240,False,Plan A,True,True
241,True,Plan A,True,False
242,False,Plan A,False,True
243,True,Plan C,False,False
244,True,Plan A,True,False
245,False,Plan B,False,False
246,False,Plan B,False,True
247,True,None,True,True
248,False,Plan C,False,False
249,True,Plan A,True,False
250,False,Plan C,True,False
251,True,Plan B,False,True
252,False,Plan C,False,False
253,True,Plan B,True,False
254,True,Plan A,True,False
255,True,Plan B,False,True
256,False,Plan C,False,False
257,False,Plan A,True,True
258,True,Plan C,True,True
259,False,Plan A,True,True
260,True,Plan A,False,True
261,False,None,False,False
262,False,None,False,True
263,False,Plan B,True,False
264,True,Plan A,True,False
265,False,Plan B,False,False
266,False,Plan A,False,True
267,False,Plan B,False,False
268,True,Plan A,True,False
269,False,Plan B,True,False
270,True,Plan B,False,False
271,True,Plan C,True,True
272,False,Plan B,True,True
273,True,Plan B,True,False
274,False,Plan B,False,True
275,False,None,True,False
276,True,None,False,True
277,True,Plan A,True,True
278,False,None,True,False
279,False,Plan B,False,True
280,False,Plan A,False,True
281,True,None,True,True
282,False,Plan A,True,True
283,True,Plan A,False,False
284,False,Plan B,True,False
285,True,Plan A,True,False
286,True,Plan A,True,True
287,True,Plan B,False,False
288,True,Plan C,False,False
289,False,Plan B,False,False
290,True,None,False,True
291,False,Plan B,False,False
292,False,Plan C,True,True
293,True,Plan C,True,True
294,True,None,True,True
295,True,Plan C,False,True
296,True,Plan C,True,False
297,False,None,True,False
298,True,Plan B,True,True
299,False,Plan B,False,True
300,False,Plan A,False,False
301,True,None,False,False
302,False,Plan C,False,False
303,True,Plan C,False,True
304,True,Plan A,True,False
305,True,Plan A,True,True
306,False,Plan B,False,True
307,True,Plan A,False,True
308,False,Plan B,False,False
309,True,Plan C,True,True
310,True,None,True,True
311,True,Plan A,False,True
312,False,Plan A,True,True
313,False,Plan B,False,False
314,False,Plan B,True,False
315,False,None,False,False
316,True,None,True,True
317,True,Plan B,True,True
318,True,Plan A,False,False
319,False,None,True,True
320,True,Plan B,False,False
321,False,Plan A,True,True
322,False,Plan B,True,False
323,True,Plan C,False,True
324,False,Plan B,False,False
325,True,Plan C,True,False
326,False,Plan C,False,True
327,False,None,False,False
328,True,Plan A,False,True
329,True,Plan C,True,False
330,True,Plan B,True,True
331,True,None,True,False
332,True,Plan B,True,False
333,False,Plan A,True,True
334,False,None,True,False
335,False,None,False,False
336,True,Plan C,False,True
337,False,Plan B,False,True
338,False,Plan C,True,False
339,True,Plan C,False,True
340,False,None,False,False
341,True,Plan C,False,False
342,False,None,True,True
343,False,Plan B,False,False
344,True,Plan B,True,True
345,False,Plan A,True,True
346,False,Plan A,False,False
347,False,Plan A,True,False
348,False,None,False,False
349,False,Plan A,True,False
350,False,Plan A,False,True
351,False,Plan A,False,True
352,True,None,False,True
353,False,Plan C,True,False
354,False,Plan A,False,True
355,False,Plan B,True,True
356,True,Plan B,False,True
357,True,Plan C,False,True
358,False,Plan C,True,True
359,True,None,True,True
360,True,Plan A,True,True
361,False,Plan A,True,True
362,True,Plan A,False,True
363,False,Plan A,True,False
364,False,Plan C,True,True
365,True,Plan C,True,True
366,True,Plan B,False,True
367,False,Plan C,True,True
368,False,None,True,False
369,True,Plan C,False,False
370,False,Plan B,False,False
371,False,Plan A,False,False
372,False,Plan A,True,True
373,False,Plan A,False,False
374,False,Plan A,False,False
375,False,Plan B,True,True
376,False,Plan A,False,False
377,False,Plan C,True,False
378,False,Plan A,False,False
379,True,Plan C,False,False
380,True,Plan B,False,True
381,False,None,False,False
382,True,Plan B,True,True
383,False,Plan C,False,True
384,False,None,False,True
385,False,Plan C,True,True
386,False,Plan A,False,False
387,False,None,True,False
388,True,Plan B,False,True
389,True,Plan A,False,False
390,False,Plan C,False,True
391,True,None,False,False
392,False,Plan A,True,False
393,False,Plan C,False,False
394,True,Plan C,True,True
395,True,Plan A,False,False
396,True,Plan A,False,False
397,False,Plan B,False,True
398,False,Plan B,True,True
399,False,None,False,True
400,False,Plan B,False,True
401,False,Plan B,False,False
402,False,None,False,True
403,True,Plan B,True,True
404,False,Plan C,False,True
405,False,None,True,True
406,True,Plan B,True,True
407,False,Plan A,False,False
408,True,Plan B,True,False
409,True,None,False,False
410,True,Plan B,False,False
411,False,Plan C,False,True
412,True,None,False,False
413,True,Plan A,True,True
414,True,Plan C,True,False
415,False,None,False,True
416,False,Plan B,False,True
417,True,None,False,False
418,True,Plan C,False,False
419,False,None,False,True
420,True,Plan C,True,True
421,False,None,True,True
422,True,Plan B,True,False
423,True,Plan B,False,True
424,True,None,False,False
425,False,Plan B,True,True
426,True,None,True,False
427,False,Plan B,True,False
428,True,Plan B,False,False
429,True,Plan B,False,False
430,True,Plan B,False,False
431,True,None,True,False
432,True,Plan A,True,True
433,True,None,False,True
434,False,Plan B,False,True
435,True,None,True,False
436,False,Plan B,False,False
437,True,Plan A,True,True
438,False,None,True,True
439,True,None,False,True
440,True,Plan B,False,True
441,True,Plan A,True,True
442,True,Plan B,False,True
443,True,Plan B,False,False
444,True,Plan C,True,False
445,True,Plan C,False,False
446,True,Plan B,True,False
447,True,Plan C,True,False
448,False,Plan A,False,False
449,False,Plan B,False,False
450,False,Plan A,False,False
451,True,Plan C,False,False
452,False,Plan B,False,True
453,False,Plan A,False,False
454,True,None,False,False
455,True,Plan B,False,False
456,False,Plan C,True,False
457,True,Plan B,True,True
458,True,Plan C,True,False
459,True,None,True,False
460,False,Plan B,True,True
461,True,Plan B,True,False
462,False,Plan A,False,True
463,True,Plan C,False,True
464,True,Plan A,False,False
465,False,None,True,False
466,True,Plan A,True,False
467,True,Plan C,True,True
468,True,Plan A,True,True
469,False,Plan A,False,True
470,True,None,False,False
471,False,Plan C,False,False
472,False,Plan C,True,True
473,False,Plan C,False,False
474,False,Plan C,True,False
475,True,Plan B,True,False
476,False,None,False,False
477,True,Plan B,False,True
478,False,Plan B,True,False
479,False,Plan A,False,True
480,False,None,False,False
481,True,Plan B,True,False
482,True,Plan C,True,True
483,False,Plan A,True,False
484,False,None,True,True
485,True,Plan A,False,False
486,True,Plan B,False,True
487,True,Plan B,True,True
488,True,Plan C,True,True
489,False,Plan C,True,False
490,True,Plan B,True,False
491,False,Plan A,False,True
492,True,Plan B,False,True
493,False,Plan A,False,True
494,False,Plan A,True,True
495,False,Plan C,False,True
496,True,Plan B,True,True
497,True,Plan B,True,True
498,False,Plan C,False,True
499,True,Plan A,False,False
500,False,Plan A,True,False
501,True,None,False,True
502,True,Plan A,True,False
503,False,Plan A,False,True
504,False,Plan B,True,True
505,False,Plan B,False,True
506,False,Plan A,False,False
507,True,Plan A,False,True
508,True,None,False,False
509,True,Plan A,True,True
510,False,Plan A,True,False
511,True,Plan A,True,True
512,True,Plan A,False,True
513,True,Plan A,True,True
514,False,Plan C,True,False
515,False,None,False,True
516,True,Plan A,True,True
517,True,None,True,True
518,True,Plan C,False,True
519,False,Plan A,False,False
520,True,Plan B,True,True
521,False,Plan C,True,False
522,False,None,True,False
523,True,Plan C,False,True
524,False,None,False,False
525,True,None,False,True
526,True,None,True,False
527,True,Plan B,True,False
528,True,Plan A,True,False
529,False,Plan A,False,False
530,True,Plan B,False,True
531,False,Plan C,False,True
532,False,None,False,False
533,True,Plan C,False,False
534,True,Plan C,False,True
535,False,Plan C,False,True
536,True,Plan B,False,True
537,True,Plan A,True,True
538,False,Plan B,True,False
539,True,None,False,True
540,False,Plan A,True,True
541,True,None,True,True
542,False,Plan A,False,True
543,True,Plan A,False,False
544,True,Plan C,True,True
545,False,Plan A,True,True
546,False,Plan C,True,True
547,True,Plan A,True,True
548,False,Plan A,False,False
549,False,None,True,True
550,False,Plan A,True,True
551,True,None,True,True
552,False,Plan B,True,True
553,False,Plan B,False,False
554,True,None,True,False
555,True,Plan B,True,False
556,False,None,False,False
557,False,Plan B,False,False
558,False,Plan C,True,True
559,True,Plan C,False,False
560,False,None,True,False
561,False,None,False,False
562,False,None,False,False
563,False,Plan C,False,False
564,False,Plan B,False,False
565,False,Plan A,False,False
566,True,None,False,True
567,False,Plan A,True,False
568,False,Plan B,True,False
569,False,Plan C,True,True
570,False,Plan C,True,False
571,True,Plan A,True,True
572,False,Plan A,False,True
573,True,Plan B,False,True
574,False,Plan B,False,True
575,False,Plan B,False,False
576,True,None,True,False
577,False,Plan A,True,False
578,False,Plan C,True,True
579,False,Plan A,False,True
580,True,None,True,True
581,False,Plan B,False,True
582,True,None,True,True
583,False,Plan B,True,True
584,False,Plan C,True,False
585,True,Plan B,True,False
586,False,None,False,True
587,False,None,True,False
588,True,Plan B,True,False
589,False,Plan B,False,False
590,False,Plan C,False,False
591,False,Plan B,False,False
592,False,Plan A,True,False
593,True,None,False,False
594,False,Plan B,True,False
595,False,None,True,True
596,True,None,False,False
597,False,Plan B,False,True
598,False,Plan A,False,False
599,False,Plan B,False,False
600,True,None,True,False
601,False,Plan A,True,True
602,True,Plan A,False,True
603,False,None,True,True
604,True,Plan C,False,False
605,True,Plan C,True,True
606,True,Plan C,True,True
607,False,Plan C,True,True
608,True,Plan A,False,True
609,True,Plan A,False,False
610,False,Plan B,True,False
611,True,Plan A,True,True
612,False,Plan C,True,False
613,False,None,True,True
614,False,None,True,False
615,True,Plan A,False,True
616,True,Plan A,False,True
617,False,Plan B,True,False
618,False,Plan A,False,True
619,False,Plan C,False,True
620,True,Plan B,True,True
621,False,Plan C,False,False
622,True,None,False,False
623,False,Plan C,True,False
624,True,None,False,False
625,True,Plan B,False,False
626,False,None,True,False
627,False,Plan B,False,False
628,False,Plan A,False,False
629,False,None,True,True
630,False,Plan C,True,False
631,True,Plan A,True,True
632,True,Plan A,True,True
633,False,Plan A,True,True
634,True,None,False,True
635,True,None,False,True
636,True,Plan C,True,False
637,True,Plan B,True,True
638,False,Plan C,True,True
639,True,Plan C,True,False
640,False,Plan C,True,False
641,True,Plan C,False,True
642,False,None,False,True
643,True,None,False,True
644,True,Plan B,False,True
645,False,Plan C,False,False
646,False,None,True,True
647,False,None,True,True
648,True,Plan C,False,False
649,False,Plan A,False,True
650,False,None,True,True
651,True,Plan A,True,False
652,False,Plan C,True,True
653,True,Plan A,True,True
654,False,None,False,False
655,False,Plan C,False,False
656,False,Plan B,False,True
657,True,Plan C,False,False
658,True,Plan C,False,True
659,False,Plan B,False,False
660,False,Plan C,False,False
661,False,Plan B,False,True
662,False,Plan A,True,False
663,True,Plan A,True,False
664,False,Plan B,False,False
665,False,Plan C,True,False
666,True,None,True,False
667,False,Plan B,False,False
668,False,None,False,True
669,False,None,False,False
670,True,Plan A,False,True
671,False,Plan A,False,True
672,True,Plan B,True,False
673,False,None,False,True
674,False,Plan A,False,True
675,True,Plan B,False,False
676,False,Plan A,True,True
677,False,Plan B,False,False
678,False,Plan B,False,False
679,True,Plan C,True,False
680,False,Plan B,True,False
681,False,Plan B,True,True
682,False,Plan A,False,False
683,False,Plan C,True,False
684,True,Plan B,False,True
685,True,Plan B,False,True
686,False,Plan C,False,True
687,False,None,False,False
688,True,Plan C,True,True
689,False,None,False,False
690,True,Plan C,True,True
691,False,Plan A,True,False
692,True,Plan B,False,False
693,False,None,False,True
694,False,Plan A,False,True
695,False,Plan B,True,False
696,False,Plan B,False,True
697,False,None,False,True
698,True,None,False,False
699,False,Plan B,True,False
700,False,Plan C,True,False
701,False,Plan C,True,False
702,True,None,True,True
703,True,Plan A,True,True
704,True,Plan C,False,True
705,True,Plan C,True,False
706,True,Plan B,False,True
707,False,Plan B,True,False
708,True,Plan C,False,True
709,True,Plan C,False,False
710,True,Plan A,True,False
711,False,Plan A,True,False
712,True,Plan A,True,False
713,False,Plan B,True,True
714,False,Plan B,True,True
715,True,Plan C,False,False
716,True,None,True,False
717,False,Plan A,True,False
718,False,Plan A,True,True
719,True,Plan B,False,True
720,True,Plan C,False,False
721,False,Plan B,False,False
722,True,None,True,False
723,True,Plan C,True,True
724,False,None,True,True
725,True,None,False,False
726,False,Plan A,False,True
727,True,Plan B,False,False
728,False,Plan C,False,True
729,True,None,False,True
730,True,Plan A,True,True
731,False,Plan C,False,True
732,False,Plan C,True,False
733,True,Plan B,False,True
734,True,Plan A,True,False
735,False,None,False,True
736,True,Plan A,False,False
737,True,Plan A,True,False
738,False,Plan A,True,True
739,False,Plan C,False,False
740,False,Plan A,True,True
741,False,Plan C,False,True
742,False,None,True,False
743,True,Plan A,True,True
744,False,Plan C,False,True
745,False,Plan B,False,False
746,False,Plan B,False,True
747,False,Plan C,True,False
748,False,Plan A,True,False
749,True,None,True,False
750,False,Plan B,False,True
751,True,Plan B,True,True
752,False,Plan C,True,False
753,False,Plan A,False,True
754,False,Plan C,False,False
755,True,None,False,True
756,True,Plan C,True,False
757,False,Plan A,False,True
758,True,None,True,True
759,False,Plan C,True,True
760,True,Plan B,False,False
761,False,Plan C,True,False
762,True,Plan B,True,True
763,True,Plan A,True,False
764,True,None,True,True
765,False,Plan A,True,False
766,False,None,False,False
767,True,Plan A,True,False
768,True,Plan C,False,True
769,False,Plan A,True,False
770,True,Plan C,False,True
771,True,Plan C,False,False
772,True,None,True,False
773,True,None,False,False
774,True,Plan A,False,True
775,False,Plan B,False,False
776,True,Plan A,True,True
777,True,Plan C,True,False
778,False,Plan A,True,False
779,False,Plan C,True,False
780,True,None,False,False
781,True,None,False,True
782,True,None,True,True
783,False,Plan C,False,False
784,True,None,False,True
785,True,Plan A,True,False
786,True,Plan B,False,False
787,True,Plan A,True,True
788,False,None,True,False
789,False,Plan A,False,True
790,True,Plan A,False,True
791,False,Plan C,False,False
792,False,Plan A,True,True
793,True,None,True,False
794,True,Plan C,True,True
795,True,Plan A,True,False
796,True,Plan A,False,False
797,False,None,False,True
798,True,None,True,True
799,True,None,True,True
800,False,Plan B,True,False
801,True,Plan B,True,True
802,False,Plan A,False,False
803,True,None,False,True
804,False,Plan C,True,True
805,False,None,True,True
806,True,Plan B,False,True
807,True,None,True,True
808,True,Plan A,True,True
809,True,None,False,True
810,True,Plan C,False,True
811,True,Plan B,False,True
812,False,Plan C,True,False
813,False,Plan B,False,True
814,False,Plan A,False,False
815,False,Plan C,False,True
816,True,None,False,True
817,True,None,False,True
818,True,Plan C,True,True
819,False,Plan C,False,False
820,False,Plan A,False,True
821,True,Plan C,True,True
822,True,Plan B,False,True
823,False,None,False,False
824,False,Plan C,False,False
825,True,Plan B,True,False
826,False,Plan B,False,True
827,True,Plan C,False,False
828,True,None,False,False
829,True,Plan B,False,True
830,False,Plan C,False,False
831,False,Plan A,False,False
832,True,Plan A,False,True
833,False,Plan A,True,True
834,True,Plan A,False,False
835,True,Plan C,False,False
836,False,Plan A,True,False
837,False,None,True,False
838,True,Plan C,False,True
839,True,None,True,False
840,False,None,False,True
841,False,Plan A,False,True
842,False,Plan C,False,False
843,False,Plan B,True,False
844,False,Plan C,True,True
845,True,Plan A,False,False
846,False,None,True,True
847,True,Plan C,True,False
848,False,Plan C,False,False
849,True,Plan B,True,False
850,False,Plan C,True,False
851,False,Plan C,False,False
852,True,Plan C,True,True
853,False,Plan C,False,False
854,True,Plan A,True,False
855,False,Plan C,True,False
856,True,Plan B,False,False
857,True,Plan C,True,False
858,False,Plan C,False,False
859,False,Plan B,False,False
860,False,Plan C,False,False
861,True,Plan B,True,False
862,False,Plan C,True,True
863,False,None,False,False
864,False,Plan A,True,False
865,False,None,False,False
866,True,Plan A,False,True
867,False,Plan C,True,True
868,False,Plan B,False,False
869,False,Plan B,False,False
870,False,Plan A,False,True
871,False,Plan B,True,True
872,True,Plan A,True,False
873,False,Plan B,True,True
874,True,None,True,True
875,True,Plan C,True,False
876,True,None,True,True
877,True,None,False,True
878,True,None,False,True
879,True,Plan A,False,False
880,True,None,False,True
881,True,None,True,True
882,False,Plan C,False,True
883,False,Plan A,True,False
884,True,Plan B,True,False
885,True,Plan A,False,True
886,False,None,False,True
887,True,Plan C,True,True
888,False,Plan B,False,False
889,True,Plan B,False,True
890,True,Plan C,True,False
891,False,None,True,True
892,False,Plan C,True,True
893,True,Plan A,True,True
894,False,Plan B,False,False
895,True,None,True,True
896,True,None,True,False
897,True,Plan A,False,False
898,False,Plan B,False,True
899,False,Plan A,True,False
900,False,Plan A,True,True
901,False,Plan C,False,True
902,True,Plan C,True,False
903,False,Plan C,True,False
904,False,None,False,True
905,False,None,True,True
906,False,None,False,True
907,False,Plan C,False,False
908,False,None,False,True
909,True,None,True,True
910,False,Plan B,False,False
911,True,Plan C,True,True
912,True,Plan B,True,False
913,True,Plan A,False,False
914,False,Plan C,True,True
915,True,Plan A,False,False
916,False,Plan C,True,True
917,True,Plan B,False,False
918,True,None,False,False
919,False,Plan A,True,True
920,True,None,True,True
921,True,Plan B,False,False
922,True,Plan C,True,False
923,False,Plan A,False,False
924,False,Plan B,True,True
925,False,Plan A,True,False
926,True,Plan A,True,False
927,True,Plan A,True,False
928,False,None,False,False
929,False,Plan B,False,False
930,True,Plan C,True,True
931,True,None,True,False
932,False,None,True,False
933,True,Plan A,True,True
934,True,Plan A,False,True
935,True,None,False,True
936,True,None,False,True
937,True,Plan B,True,True
938,False,Plan B,True,False
939,False,Plan A,True,True
940,True,Plan C,False,True
941,False,Plan A,False,False
942,True,Plan B,False,True
943,True,Plan C,False,True
944,True,None,True,False
945,False,Plan A,True,False
946,False,Plan A,True,True
947,False,Plan A,False,False
948,False,Plan C,True,True
949,False,Plan B,False,True
950,True,None,True,True
951,False,Plan A,True,True
952,True,None,False,True
953,False,Plan B,True,False
954,True,Plan C,True,False
955,True,Plan C,False,False
956,False,Plan A,False,False
957,True,Plan B,True,True
958,False,Plan B,True,True
959,False,Plan C,False,True
960,True,Plan C,True,True
961,True,Plan A,False,True
962,False,Plan B,False,True
963,False,None,True,True
964,True,Plan C,False,True
965,True,Plan B,True,False
966,True,Plan B,True,False
967,True,None,True,True
968,True,Plan B,True,True
969,True,Plan C,True,False
970,True,Plan A,False,False
971,True,Plan A,False,True
972,True,Plan C,False,False
973,True,Plan C,True,False
974,True,Plan C,False,True
975,True,None,True,False
976,True,None,True,True
977,False,None,True,False
978,False,None,False,True
979,True,None,True,False
980,False,Plan C,False,True
981,True,None,True,False
982,False,None,False,True
983,False,Plan C,False,True
984,False,None,True,True
985,False,Plan C,False,True
986,True,None,True,True
987,False,Plan A,False,True
988,False,Plan A,True,True
989,False,Plan C,False,False
990,False,None,False,False
991,False,Plan C,False,False
992,True,Plan B,True,False
993,False,Plan A,False,True
994,False,Plan C,True,False
995,False,None,False,True
996,False,None,False,False
997,False,Plan A,False,False
998,False,Plan A,False,False
999,False,Plan B,False,False
1000,False,None,False,True
1001,True,Plan A,False,True
1002,True,Plan B,False,True
1003,False,None,False,True
1004,False,Plan C,True,True
1005,True,Plan A,False,False
1006,True,Plan A,False,False
1007,False,Plan C,True,True
1008,True,Plan C,True,False
1009,True,Plan B,True,False
1010,False,None,True,True
1011,False,Plan C,True,False
1012,True,None,False,False
1013,True,Plan C,False,True
1014,True,None,False,True
1015,True,Plan C,False,False
1016,True,None,False,True
1017,False,None,True,True
1018,False,Plan A,True,True
1019,True,Plan B,False,True
1020,False,Plan B,False,False
1021,True,None,True,False
1022,True,Plan B,True,True
1023,True,Plan A,True,False
1024,False,None,True,False
1025,False,Plan C,True,False
1026,True,Plan A,False,True
1027,False,Plan A,True,True
1028,True,Plan A,False,True
1029,False,None,False,False
1030,False,Plan C,True,True
1031,False,Plan B,False,False
1032,True,None,True,True
1033,False,None,False,False
1034,False,Plan A,False,False
1035,False,Plan B,True,False
1036,False,None,True,True
1037,True,Plan B,True,True
1038,False,Plan A,False,True
1039,False,Plan C,False,False
1040,True,None,False,True
1041,True,Plan A,True,True
1042,True,Plan A,True,True
1043,True,Plan C,False,True
1044,True,Plan C,True,True
1045,False,Plan A,True,True
1046,True,Plan C,True,False
1047,True,Plan A,True,True
1048,False,Plan C,False,False
1049,True,Plan C,True,True
1050,False,Plan C,True,True
1051,False,None,False,False
1052,False,Plan B,True,False
1053,False,None,True,False
1054,True,Plan B,True,True
1055,False,None,False,True
1056,True,Plan A,True,False
1057,False,Plan A,False,False
1058,True,Plan B,False,True
1059,False,Plan A,False,True
1060,True,Plan C,True,False
1061,False,Plan A,True,False
1062,True,Plan B,False,True
1063,False,None,True,False
1064,True,Plan C,True,False
1065,False,Plan A,False,False
1066,True,None,False,False
1067,True,Plan B,True,False
1068,True,Plan C,True,True
1069,True,Plan A,False,False
1070,True,Plan A,False,False
1071,True,None,True,True
1072,False,Plan A,False,True
1073,True,None,True,True
1074,True,Plan A,True,False
1075,False,Plan B,False,False
1076,True,Plan C,True,False
1077,False,Plan A,False,False
1078,False,Plan B,False,False
1079,False,Plan A,False,True
1080,True,Plan A,False,False
1081,True,None,False,True
1082,False,None,True,True
1083,False,Plan A,False,True
1084,False,None,True,False
1085,False,None,True,False
1086,True,Plan A,False,False
1087,True,Plan A,False,True
1088,False,None,False,True
1089,True,Plan C,False,True
1090,True,Plan C,True,True
1091,True,Plan A,True,False
1092,True,Plan A,True,False
1093,True,Plan B,False,False
1094,False,None,False,True
1095,True,None,True,True
1096,False,Plan A,True,False
1097,True,None,False,True
1098,True,Plan C,True,False
1099,True,Plan B,False,True
1100,True,None,False,True
1101,True,None,True,True
1102,False,Plan C,False,True
1103,False,None,True,True
1104,False,Plan C,True,False
1105,True,Plan A,True,True
1106,True,None,False,False
1107,True,Plan A,True,False
1108,False,Plan C,True,True
1109,True,None,True,True
1110,False,None,True,False
1111,False,Plan A,False,True
1112,True,Plan A,False,True
1113,True,Plan B,False,False
1114,True,Plan A,False,False
1115,False,Plan A,False,True
1116,True,None,False,False
1117,True,Plan B,True,False
1118,True,Plan A,True,True
1119,True,None,True,True
1120,True,Plan C,False,True
1121,True,Plan A,False,True
1122,False,Plan B,True,True
1123,True,Plan A,True,True
1124,False,None,True,False
1125,False,None,False,True
