CitizenID,HighestEducation,FieldOfStudy,GraduationYear,LanguageProficiency
263,Bachelor's Degree,Sciences,2015,Intermediate
264,PhD,Arts,1987,Fluent
265,PhD,Business,1993,Native
266,High School,Law,1982,Basic
267,PhD,Law,2017,Intermediate
268,High School,Arts,2013,Native
269,PhD,Business,1993,Fluent
270,High School,Sciences,2006,Intermediate
271,PhD,Arts,1997,Fluent
272,Bachelor's Degree,Business,2016,Basic
273,Bachelor's Degree,Sciences,2015,Fluent
274,Bachelor's Degree,Business,1975,Basic
275,Master's Degree,Law,2007,Native
276,Associate's Degree,Business,2017,Native
277,PhD,Law,1984,Basic
278,Associate's Degree,Law,2005,Native
279,Associate's Degree,Business,1974,Native
280,PhD,Business,1996,Intermediate
281,PhD,Business,1986,Intermediate
282,PhD,Sciences,1977,Basic
283,High School,Engineering,1971,Native
284,High School,Arts,1986,Fluent
285,High School,Arts,1982,Basic
286,High School,Law,1994,Intermediate
287,Associate's Degree,Law,2007,Native
288,High School,Law,2013,Intermediate
289,PhD,Engineering,1999,Intermediate
290,Master's Degree,Arts,2018,Basic
291,Bachelor's Degree,Business,2009,Intermediate
292,Associate's Degree,Engineering,2002,Native
293,Bachelor's Degree,Engineering,1990,Fluent
294,Master's Degree,Sciences,2010,Native
295,PhD,Engineering,2019,Fluent
296,PhD,Law,1995,Native
297,PhD,Arts,1975,Fluent
298,High School,Arts,1975,Intermediate
299,Master's Degree,Law,1984,Native
300,Master's Degree,Sciences,1982,Fluent
301,Bachelor's Degree,Arts,1984,Intermediate
302,Bachelor's Degree,Law,2019,Intermediate
303,Master's Degree,Arts,2009,Intermediate
304,Bachelor's Degree,Law,2004,Basic
305,Associate's Degree,Law,2020,Native
306,Bachelor's Degree,Sciences,2019,Fluent
307,Master's Degree,Business,2010,Intermediate
308,PhD,Sciences,1993,Intermediate
309,PhD,Engineering,1997,Native
310,Bachelor's Degree,Sciences,1996,Native
311,PhD,Sciences,1970,Fluent
312,Master's Degree,Engineering,2010,Fluent
313,Associate's Degree,Sciences,1988,Intermediate
314,High School,Law,2019,Native
315,High School,Business,1971,Fluent
316,Master's Degree,Engineering,2014,Fluent
317,High School,Sciences,1994,Basic
318,Associate's Degree,Engineering,2000,Basic
319,High School,Law,1986,Basic
320,Associate's Degree,Arts,2006,Intermediate
321,PhD,Arts,1991,Native
322,Bachelor's Degree,Sciences,2014,Intermediate
323,High School,Engineering,1993,Basic
324,PhD,Business,1999,Intermediate
325,Master's Degree,Sciences,1981,Native
326,Associate's Degree,Law,2005,Intermediate
327,High School,Business,1988,Intermediate
328,PhD,Law,2010,Intermediate
329,High School,Sciences,1973,Native
330,Master's Degree,Sciences,1977,Basic
331,Associate's Degree,Law,1975,Intermediate
332,Master's Degree,Law,2012,Native
333,High School,Business,1977,Basic
334,Associate's Degree,Business,1999,Native
335,PhD,Arts,2021,Basic
336,Associate's Degree,Sciences,1973,Fluent
337,Bachelor's Degree,Engineering,1989,Fluent
338,PhD,Arts,2012,Fluent
339,Bachelor's Degree,Sciences,1975,Intermediate
340,High School,Business,2010,Intermediate
341,Master's Degree,Sciences,1995,Fluent
342,High School,Engineering,2021,Fluent
343,PhD,Business,2021,Native
344,Master's Degree,Law,1998,Fluent
345,High School,Sciences,1993,Intermediate
346,High School,Business,2006,Fluent
347,Associate's Degree,Sciences,2004,Intermediate
348,High School,Law,1994,Intermediate
349,PhD,Sciences,1983,Fluent
350,Associate's Degree,Sciences,1979,Basic
351,Associate's Degree,Business,2005,Native
352,High School,Business,1996,Native
353,High School,Engineering,1980,Intermediate
354,High School,Law,1999,Native
355,High School,Sciences,2000,Intermediate
356,PhD,Engineering,1995,Intermediate
357,PhD,Sciences,2007,Native
358,Associate's Degree,Law,2008,Intermediate
359,High School,Engineering,2003,Native
360,Bachelor's Degree,Arts,1993,Native
361,PhD,Sciences,1977,Basic
362,Bachelor's Degree,Engineering,2014,Basic
363,PhD,Business,2007,Native
364,Master's Degree,Sciences,1998,Basic
365,Bachelor's Degree,Arts,2000,Intermediate
366,Associate's Degree,Engineering,1971,Basic
367,Associate's Degree,Engineering,2016,Basic
368,High School,Sciences,2018,Basic
369,Master's Degree,Law,1982,Fluent
370,PhD,Arts,1996,Basic
371,Master's Degree,Law,2020,Intermediate
372,Bachelor's Degree,Sciences,1992,Native
373,Bachelor's Degree,Sciences,1972,Intermediate
374,Master's Degree,Arts,1982,Native
375,Associate's Degree,Law,1996,Basic
376,Associate's Degree,Business,1978,Native
377,High School,Engineering,2000,Native
378,PhD,Business,1978,Basic
379,Master's Degree,Sciences,2002,Native
380,Associate's Degree,Law,2001,Basic
381,Master's Degree,Business,1972,Basic
382,High School,Arts,1983,Intermediate
383,High School,Engineering,1991,Basic
384,PhD,Engineering,2015,Native
385,High School,Arts,2008,Basic
386,PhD,Arts,1995,Basic
387,Master's Degree,Sciences,1974,Fluent
388,Master's Degree,Law,2000,Basic
389,High School,Arts,1997,Basic
390,PhD,Business,1995,Native
391,High School,Law,1978,Intermediate
392,Bachelor's Degree,Law,2001,Basic
393,Master's Degree,Sciences,2000,Native
394,Master's Degree,Law,1996,Intermediate
395,Master's Degree,Law,2021,Basic
396,Master's Degree,Engineering,1980,Basic
397,High School,Arts,1997,Intermediate
398,PhD,Law,1999,Native
399,High School,Business,2013,Intermediate
400,Bachelor's Degree,Engineering,2017,Fluent
401,Master's Degree,Business,2004,Fluent
402,PhD,Business,1994,Intermediate
403,PhD,Arts,2012,Intermediate
404,PhD,Engineering,2008,Native
405,Master's Degree,Arts,1988,Fluent
406,Master's Degree,Arts,1980,Fluent
407,PhD,Sciences,1982,Fluent
408,Associate's Degree,Business,2017,Basic
409,Associate's Degree,Engineering,1984,Fluent
410,PhD,Sciences,2010,Intermediate
411,Associate's Degree,Arts,1974,Intermediate
412,Master's Degree,Business,1971,Intermediate
413,PhD,Engineering,1996,Basic
414,PhD,Arts,1978,Fluent
415,High School,Sciences,1971,Intermediate
416,Bachelor's Degree,Law,2006,Native
417,High School,Engineering,1984,Intermediate
418,Bachelor's Degree,Engineering,2018,Basic
419,Bachelor's Degree,Arts,2004,Intermediate
420,Bachelor's Degree,Business,1971,Fluent
421,Master's Degree,Law,2022,Native
422,Associate's Degree,Arts,2007,Basic
423,PhD,Sciences,1991,Fluent
424,High School,Engineering,2022,Native
425,High School,Law,2015,Intermediate
426,Bachelor's Degree,Business,1975,Intermediate
427,Bachelor's Degree,Engineering,1978,Intermediate
428,High School,Sciences,2022,Native
429,Associate's Degree,Sciences,2013,Intermediate
430,PhD,Sciences,2017,Intermediate
431,High School,Arts,1998,Native
432,Bachelor's Degree,Law,1994,Native
433,Associate's Degree,Business,1996,Intermediate
434,Master's Degree,Law,1996,Native
435,High School,Arts,1974,Native
436,PhD,Business,1983,Fluent
437,Master's Degree,Law,2014,Basic
438,High School,Law,1970,Basic
439,Master's Degree,Sciences,1983,Fluent
440,PhD,Business,2007,Native
441,Master's Degree,Business,1990,Fluent
442,Bachelor's Degree,Arts,1975,Fluent
443,Bachelor's Degree,Law,2012,Basic
444,PhD,Arts,1982,Basic
445,PhD,Sciences,2009,Basic
446,Bachelor's Degree,Engineering,2018,Intermediate
447,PhD,Law,2016,Fluent
448,Bachelor's Degree,Business,1985,Native
449,PhD,Arts,2002,Fluent
450,Associate's Degree,Arts,1989,Basic
451,Associate's Degree,Business,1980,Native
452,Master's Degree,Arts,1998,Fluent
453,PhD,Sciences,2015,Fluent
454,High School,Business,1978,Fluent
455,PhD,Arts,1997,Intermediate
456,High School,Law,1990,Native
457,Master's Degree,Business,2008,Intermediate
458,PhD,Sciences,2004,Fluent
459,Master's Degree,Sciences,1979,Fluent
460,Associate's Degree,Engineering,2007,Fluent
461,Master's Degree,Law,1993,Intermediate
462,PhD,Sciences,1977,Native
463,High School,Engineering,2004,Fluent
464,High School,Arts,2006,Fluent
465,Bachelor's Degree,Law,1975,Intermediate
466,Master's Degree,Engineering,1999,Fluent
467,Bachelor's Degree,Business,2004,Native
468,High School,Law,2001,Intermediate
469,Associate's Degree,Business,1971,Fluent
470,Master's Degree,Arts,2009,Basic
471,Bachelor's Degree,Business,2022,Intermediate
472,Master's Degree,Law,2010,Native
473,PhD,Engineering,2003,Native
474,Bachelor's Degree,Engineering,1990,Basic
475,Master's Degree,Law,2009,Fluent
476,Bachelor's Degree,Sciences,2002,Native
477,High School,Law,1982,Native
478,Bachelor's Degree,Sciences,2005,Intermediate
479,Associate's Degree,Engineering,2018,Intermediate
480,PhD,Law,2008,Basic
481,Associate's Degree,Business,1991,Basic
482,Bachelor's Degree,Sciences,2011,Native
483,High School,Arts,1995,Fluent
484,PhD,Business,1998,Intermediate
485,Bachelor's Degree,Sciences,2021,Intermediate
486,PhD,Law,2021,Basic
487,PhD,Sciences,1982,Basic
488,Bachelor's Degree,Sciences,1990,Fluent
489,Master's Degree,Arts,1996,Basic
490,High School,Arts,1993,Fluent
491,High School,Business,1997,Basic
492,Bachelor's Degree,Law,1993,Intermediate
493,Master's Degree,Business,1998,Basic
494,PhD,Engineering,1971,Basic
495,PhD,Engineering,1989,Basic
496,Associate's Degree,Law,2005,Intermediate
497,Bachelor's Degree,Engineering,2002,Basic
498,PhD,Law,1984,Native
499,High School,Law,2000,Intermediate
500,Bachelor's Degree,Arts,2002,Fluent
501,PhD,Business,1990,Fluent
502,Bachelor's Degree,Law,2007,Native
503,PhD,Law,1995,Fluent
504,High School,Law,2019,Intermediate
505,Master's Degree,Sciences,1984,Intermediate
506,High School,Engineering,2017,Basic
507,Associate's Degree,Business,1976,Basic
508,High School,Engineering,1979,Native
509,High School,Law,2021,Basic
510,Associate's Degree,Sciences,2004,Fluent
511,Master's Degree,Sciences,1992,Intermediate
512,Bachelor's Degree,Engineering,1975,Intermediate
513,High School,Law,1986,Fluent
514,High School,Sciences,1985,Intermediate
515,Master's Degree,Engineering,1982,Fluent
516,Associate's Degree,Arts,1971,Intermediate
517,High School,Arts,1999,Basic
518,Associate's Degree,Sciences,1996,Basic
519,Associate's Degree,Arts,1979,Basic
520,Master's Degree,Engineering,2005,Fluent
521,Associate's Degree,Arts,2021,Fluent
522,Associate's Degree,Business,1992,Basic
523,Associate's Degree,Arts,1985,Native
524,Associate's Degree,Engineering,1984,Basic
525,Master's Degree,Business,1982,Fluent
526,High School,Arts,2008,Basic
527,Master's Degree,Sciences,1982,Native
528,PhD,Sciences,2006,Native
529,Associate's Degree,Law,1992,Intermediate
530,PhD,Sciences,1978,Intermediate
531,High School,Engineering,1984,Native
532,Associate's Degree,Business,1979,Intermediate
533,Bachelor's Degree,Law,2012,Native
534,PhD,Engineering,2000,Native
535,PhD,Business,2000,Fluent
536,Master's Degree,Business,2003,Intermediate
537,Associate's Degree,Sciences,1980,Basic
538,Bachelor's Degree,Engineering,1990,Fluent
539,Associate's Degree,Sciences,2015,Intermediate
540,Bachelor's Degree,Law,1977,Intermediate
541,Master's Degree,Sciences,2006,Fluent
542,PhD,Sciences,2002,Native
543,Associate's Degree,Engineering,1987,Basic
544,Associate's Degree,Business,1987,Basic
545,PhD,Arts,1971,Native
546,Bachelor's Degree,Business,2011,Fluent
547,Master's Degree,Arts,2017,Fluent
548,High School,Arts,2004,Basic
549,Bachelor's Degree,Business,1993,Native
550,Bachelor's Degree,Law,1979,Native
551,High School,Sciences,2008,Fluent
552,PhD,Business,2017,Basic
553,Master's Degree,Engineering,1997,Native
554,High School,Sciences,1986,Basic
555,PhD,Engineering,2011,Basic
556,High School,Sciences,1995,Basic
557,Bachelor's Degree,Engineering,2006,Basic
558,Master's Degree,Arts,1987,Native
559,PhD,Engineering,2021,Intermediate
560,Bachelor's Degree,Sciences,2001,Intermediate
561,PhD,Engineering,1994,Fluent
562,Bachelor's Degree,Sciences,2013,Basic
563,PhD,Business,2011,Basic
564,PhD,Business,1979,Intermediate
565,Master's Degree,Business,2015,Fluent
566,PhD,Arts,1971,Basic
567,PhD,Law,2010,Basic
568,High School,Engineering,1996,Basic
569,High School,Law,1998,Intermediate
570,High School,Law,2018,Basic
571,PhD,Sciences,2001,Native
572,PhD,Sciences,1986,Intermediate
573,PhD,Arts,2010,Basic
574,PhD,Law,2004,Intermediate
575,High School,Sciences,1989,Intermediate
576,PhD,Engineering,1970,Intermediate
577,Associate's Degree,Sciences,1979,Native
578,Associate's Degree,Business,2020,Fluent
579,PhD,Engineering,2006,Native
580,Master's Degree,Sciences,2021,Basic
581,Associate's Degree,Engineering,1989,Fluent
582,PhD,Engineering,1986,Fluent
583,Master's Degree,Engineering,2015,Basic
584,High School,Business,1992,Native
585,PhD,Law,1994,Intermediate
586,Associate's Degree,Law,1981,Native
587,Associate's Degree,Sciences,2016,Fluent
588,Associate's Degree,Arts,2001,Native
589,Bachelor's Degree,Sciences,1999,Basic
590,High School,Arts,2016,Basic
591,Master's Degree,Law,1985,Basic
592,Associate's Degree,Law,1997,Intermediate
593,High School,Sciences,1987,Native
594,PhD,Sciences,1985,Native
595,Master's Degree,Business,1981,Native
596,High School,Law,1986,Basic
597,Master's Degree,Sciences,1976,Basic
598,PhD,Arts,2001,Intermediate
599,Bachelor's Degree,Business,1973,Fluent
600,Master's Degree,Engineering,2021,Native
601,Master's Degree,Arts,1992,Basic
602,Associate's Degree,Law,1982,Native
603,Associate's Degree,Business,2020,Basic
604,Associate's Degree,Law,2016,Fluent
605,Bachelor's Degree,Sciences,1972,Fluent
606,High School,Engineering,2013,Native
607,Master's Degree,Arts,2004,Basic
608,PhD,Engineering,1976,Fluent
609,Bachelor's Degree,Engineering,1981,Intermediate
610,Master's Degree,Business,1992,Fluent
611,Associate's Degree,Arts,1997,Fluent
612,Bachelor's Degree,Arts,1970,Basic
613,High School,Law,2012,Native
614,High School,Arts,1979,Fluent
615,Master's Degree,Business,2004,Fluent
616,Associate's Degree,Law,1971,Fluent
617,Master's Degree,Business,2009,Basic
618,PhD,Arts,2017,Native
619,High School,Business,1982,Intermediate
620,Associate's Degree,Engineering,2000,Fluent
621,Bachelor's Degree,Engineering,2018,Basic
622,Associate's Degree,Business,2017,Basic
623,Bachelor's Degree,Law,2020,Intermediate
624,Master's Degree,Business,1996,Basic
625,High School,Arts,2021,Basic
626,High School,Sciences,2005,Basic
627,High School,Law,2007,Native
628,Master's Degree,Arts,1996,Basic
629,Associate's Degree,Law,2000,Intermediate
630,High School,Business,1985,Native
631,Associate's Degree,Law,1986,Native
632,Associate's Degree,Sciences,1977,Native
633,Associate's Degree,Sciences,2020,Intermediate
634,Associate's Degree,Sciences,2019,Fluent
635,High School,Law,1981,Native
636,Associate's Degree,Business,2014,Native
637,PhD,Sciences,1976,Basic
638,Associate's Degree,Sciences,1977,Native
639,Associate's Degree,Business,2014,Basic
640,Master's Degree,Business,1982,Intermediate
641,Associate's Degree,Business,1974,Fluent
642,Associate's Degree,Arts,2021,Native
643,Associate's Degree,Arts,2011,Basic
644,PhD,Sciences,1998,Intermediate
645,Associate's Degree,Sciences,1995,Native
646,Bachelor's Degree,Business,1989,Intermediate
647,Associate's Degree,Business,2011,Intermediate
648,High School,Engineering,2001,Basic
649,High School,Engineering,1971,Basic
650,Associate's Degree,Arts,1992,Native
651,Master's Degree,Sciences,1981,Fluent
652,High School,Arts,2015,Fluent
653,Associate's Degree,Engineering,2008,Native
654,Associate's Degree,Business,2013,Native
655,Master's Degree,Engineering,1990,Fluent
656,Associate's Degree,Engineering,2000,Native
657,Master's Degree,Law,1974,Intermediate
658,High School,Arts,1979,Intermediate
659,Master's Degree,Engineering,1982,Basic
660,PhD,Law,1972,Native
661,High School,Law,2011,Basic
662,PhD,Law,1991,Native
663,High School,Sciences,2010,Fluent
664,Bachelor's Degree,Sciences,1983,Basic
665,High School,Engineering,1972,Basic
666,Master's Degree,Sciences,2022,Intermediate
667,High School,Law,1986,Basic
668,Associate's Degree,Sciences,2020,Native
669,PhD,Sciences,1994,Fluent
670,PhD,Law,1983,Intermediate
671,Master's Degree,Sciences,2010,Fluent
672,Master's Degree,Arts,2016,Basic
673,High School,Law,2004,Fluent
674,High School,Law,1996,Basic
675,PhD,Law,1987,Native
676,High School,Business,1990,Fluent
677,Bachelor's Degree,Arts,2004,Intermediate
678,Master's Degree,Arts,2022,Basic
679,Associate's Degree,Arts,2004,Native
680,PhD,Law,1995,Basic
681,High School,Arts,1998,Fluent
682,PhD,Arts,2005,Fluent
683,Associate's Degree,Engineering,1973,Native
684,High School,Sciences,2004,Native
685,Bachelor's Degree,Engineering,1988,Native
686,Master's Degree,Sciences,1987,Basic
687,Master's Degree,Business,1994,Native
688,Bachelor's Degree,Arts,1993,Native
689,PhD,Sciences,1987,Basic
690,PhD,Sciences,1999,Native
691,Master's Degree,Business,1990,Fluent
692,PhD,Arts,1996,Fluent
693,High School,Business,2017,Basic
694,High School,Arts,1986,Basic
695,Bachelor's Degree,Arts,1986,Fluent
696,PhD,Sciences,1975,Basic
697,Bachelor's Degree,Law,1980,Fluent
698,Bachelor's Degree,Arts,1981,Fluent
699,Master's Degree,Business,1976,Fluent
700,Master's Degree,Law,1996,Basic
701,Associate's Degree,Engineering,1981,Native
702,High School,Engineering,2011,Fluent
703,Master's Degree,Business,1999,Native
